Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,554.08,1.23,10.37,28.25,1.61,20.12,22.02,6.97
2025-01-01 09:00:00,407.22,0.61,5.01,46.49,1.33,14.36,15.65,3.51
2025-01-01 10:00:00,363.83,0.32,3.38,53.64,1.22,12.86,14.02,2.5
2025-01-01 11:00:00,343.8,0.2,2.7,56.51,1.21,11.87,13.03,2.12
2025-01-01 12:00:00,307.08,0.07,2.27,55.79,1.12,10.14,11.12,1.61
2025-01-01 13:00:00,290.39,0.05,2.08,55.07,0.97,8.79,9.58,1.27
2025-01-01 14:00:00,290.39,0.04,2.08,55.79,0.94,7.95,8.67,1.16
2025-01-01 15:00:00,277.04,0.03,1.97,55.07,0.93,6.47,7.09,0.96
2025-01-01 16:00:00,257.02,0.02,1.78,52.93,0.85,4.68,5.17,0.72
2025-01-01 17:00:00,243.66,0.01,1.8,51.5,0.77,3.62,4.03,0.59
2025-01-01 18:00:00,236.99,0.0,1.99,50.07,0.72,3.41,3.79,0.57
2025-01-01 19:00:00,236.99,0.0,2.21,49.35,0.71,3.66,4.1,0.64
2025-01-01 20:00:00,240.33,0.0,2.33,48.64,0.71,4.09,4.6,0.72
2025-01-01 21:00:00,267.03,0.0,2.87,47.21,0.86,5.15,5.81,1.27
2025-01-01 22:00:00,307.08,0.0,3.98,44.7,1.15,6.71,7.56,2.15
2025-01-01 23:00:00,350.48,0.0,5.4,40.41,1.43,8.21,9.2,3.13
2025-01-02 00:00:00,363.83,0.0,6.0,36.84,1.39,8.27,9.09,2.98
2025-01-02 01:00:00,367.16,0.0,6.6,33.97,1.25,8.08,8.75,2.82
2025-01-02 02:00:00,373.84,0.0,7.03,31.83,1.13,8.11,8.72,2.79
2025-01-02 03:00:00,357.15,0.0,6.51,31.11,0.97,7.41,7.97,2.31
2025-01-02 04:00:00,347.14,0.0,6.17,30.4,0.91,7.02,7.62,2.25
2025-01-02 05:00:00,347.14,0.0,6.0,29.68,0.89,6.97,7.61,2.41
2025-01-02 06:00:00,357.15,0.0,6.25,27.18,0.92,7.56,8.31,2.94
2025-01-02 07:00:00,357.15,0.1,6.0,26.11,0.94,7.5,8.38,2.85
2025-01-02 08:00:00,337.12,0.57,4.28,31.11,0.97,7.08,8.07,2.41
2025-01-02 09:00:00,323.77,0.5,3.08,42.2,1.03,7.61,8.72,2.31
2025-01-02 10:00:00,320.43,0.28,2.46,53.64,1.1,8.85,10.07,2.37
2025-01-02 11:00:00,317.1,0.15,2.01,62.94,1.19,9.79,11.07,2.28
2025-01-02 12:00:00,297.07,0.1,1.61,67.95,1.19,9.32,10.46,1.87
2025-01-02 13:00:00,287.06,0.07,1.41,70.1,1.16,8.93,9.97,1.5
2025-01-02 14:00:00,287.06,0.06,1.41,72.24,1.18,9.11,10.07,1.42
2025-01-02 15:00:00,293.73,0.05,1.82,71.53,1.31,9.18,10.13,1.58
2025-01-02 16:00:00,310.42,0.04,2.57,69.38,1.48,10.02,10.98,1.9
2025-01-02 17:00:00,333.79,0.01,3.51,62.94,1.62,11.22,12.1,2.22
2025-01-02 18:00:00,343.8,0.0,4.11,53.64,1.65,11.36,12.23,2.53
2025-01-02 19:00:00,350.48,0.0,4.54,46.49,1.76,11.02,11.97,2.69
2025-01-02 20:00:00,363.83,0.0,5.14,41.13,1.97,11.43,12.43,2.72
2025-01-02 21:00:00,373.84,0.0,5.48,38.27,1.94,11.82,12.71,2.41
2025-01-02 22:00:00,373.84,0.0,5.48,36.84,1.82,12.02,12.86,2.22
2025-01-02 23:00:00,373.84,0.0,5.4,36.12,1.73,12.05,12.88,2.22
2025-01-03 00:00:00,363.83,0.0,4.97,36.12,1.64,11.59,12.3,2.09
2025-01-03 01:00:00,380.52,0.0,5.48,33.97,1.52,12.22,12.99,2.63
2025-01-03 02:00:00,403.88,0.0,6.43,31.47,1.31,13.22,14.03,3.42
2025-01-03 03:00:00,403.88,0.0,6.43,32.19,1.03,13.15,13.87,3.42
2025-01-03 04:00:00,393.87,0.0,6.25,34.33,0.86,12.76,13.43,3.36
2025-01-03 05:00:00,387.19,0.0,6.0,37.55,0.77,12.59,13.25,3.36
2025-01-03 06:00:00,390.53,0.0,5.83,39.34,0.8,13.15,13.91,3.86
2025-01-03 07:00:00,387.19,0.03,5.31,40.41,0.86,13.22,14.1,3.77
2025-01-03 08:00:00,380.52,0.27,4.33,43.63,0.92,12.94,13.92,3.39
2025-01-03 09:00:00,363.83,0.31,2.87,52.93,0.86,12.38,13.36,2.69
2025-01-03 10:00:00,347.14,0.21,1.93,63.66,0.83,12.82,13.75,2.28
2025-01-03 11:00:00,337.12,0.16,1.44,71.53,0.86,13.86,14.73,2.12
2025-01-03 12:00:00,307.08,0.12,1.09,70.1,0.87,11.47,12.14,1.73
2025-01-03 13:00:00,277.04,0.09,0.9,64.37,0.8,8.8,9.28,1.3
2025-01-03 14:00:00,270.37,0.07,0.88,62.94,0.74,8.62,9.03,1.11
2025-01-03 15:00:00,277.04,0.07,1.06,66.52,0.78,10.27,10.67,1.08
2025-01-03 16:00:00,290.39,0.06,1.41,70.81,0.91,11.92,12.37,1.17
2025-01-03 17:00:00,300.41,0.03,1.88,70.1,1.04,12.2,12.69,1.35
2025-01-03 18:00:00,307.08,0.0,2.42,68.66,1.15,12.43,13.01,1.55
2025-01-03 19:00:00,313.76,0.0,2.78,67.95,1.13,13.13,13.85,1.73
2025-01-03 20:00:00,320.43,0.0,2.87,69.38,1.03,14.65,15.53,1.82
2025-01-03 21:00:00,337.12,0.0,3.08,72.96,0.93,17.99,19.06,2.25
2025-01-03 22:00:00,367.16,0.0,3.38,76.53,0.94,23.94,25.18,2.98
2025-01-03 23:00:00,410.56,0.0,3.77,75.82,1.04,29.96,31.33,3.86
2025-01-04 00:00:00,494.0,0.0,6.25,65.09,1.34,34.27,36.02,5.26
2025-01-04 01:00:00,600.81,0.0,10.11,49.35,1.62,38.47,40.76,6.9
2025-01-04 02:00:00,707.63,0.0,13.88,34.69,1.8,42.11,44.89,8.87
2025-01-04 03:00:00,767.71,0.0,16.45,25.03,1.82,44.08,46.93,9.63
2025-01-04 04:00:00,801.09,0.0,17.65,20.03,1.76,44.35,46.8,9.88
2025-01-04 05:00:00,794.41,0.0,17.65,18.6,1.67,43.06,45.19,10.01
2025-01-04 06:00:00,494.0,0.0,6.77,53.64,1.31,31.36,33.05,5.45
2025-01-04 07:00:00,433.92,0.02,4.71,66.52,1.21,30.31,32.04,4.24
2025-01-04 08:00:00,400.54,0.16,3.26,73.67,1.15,28.43,30.1,3.07
2025-01-04 09:00:00,383.85,0.18,2.23,82.97,1.07,27.17,28.72,2.28
2025-01-04 10:00:00,373.84,0.12,1.82,87.26,1.0,26.07,27.42,1.84
2025-01-04 11:00:00,367.16,0.08,1.71,86.55,0.98,24.37,25.57,1.73
2025-01-04 12:00:00,353.81,0.02,1.99,81.54,1.03,21.39,22.6,1.73
2025-01-04 13:00:00,343.8,0.02,2.46,77.25,1.12,19.63,20.94,1.77
2025-01-04 14:00:00,340.46,0.02,2.87,72.96,1.15,18.36,19.71,1.77
2025-01-04 15:00:00,337.12,0.02,3.04,67.95,1.15,16.12,17.38,1.69
2025-01-04 16:00:00,333.79,0.01,3.13,62.94,1.12,14.32,15.45,1.61
2025-01-04 17:00:00,337.12,0.01,3.17,60.08,1.12,13.39,14.3,1.49
2025-01-04 18:00:00,340.46,0.0,3.04,59.37,1.12,13.43,14.19,1.47
2025-01-04 19:00:00,357.15,0.0,3.47,56.51,1.18,14.29,15.06,1.99
2025-01-04 20:00:00,357.15,0.0,3.68,52.21,1.18,13.9,14.64,2.34
2025-01-04 21:00:00,340.46,0.0,3.6,51.5,1.12,13.45,14.09,2.34
2025-01-04 22:00:00,333.79,0.0,3.81,51.5,1.07,13.87,14.52,2.41
2025-01-04 23:00:00,330.45,0.0,3.94,51.5,1.01,13.86,14.52,2.34
2025-01-05 00:00:00,320.43,0.0,3.86,50.78,0.91,13.29,13.93,2.12
2025-01-05 01:00:00,320.43,0.0,3.81,50.07,0.82,12.79,13.43,2.18
2025-01-05 02:00:00,317.1,0.0,3.73,50.78,0.73,12.34,12.95,2.28
2025-01-05 03:00:00,300.41,0.0,3.17,52.93,0.61,10.17,10.7,1.85
2025-01-05 04:00:00,290.39,0.0,2.96,52.93,0.58,8.75,9.29,1.84
2025-01-05 05:00:00,290.39,0.0,3.0,51.5,0.6,8.52,9.11,2.06
2025-01-05 06:00:00,300.41,0.0,3.43,48.64,0.65,8.86,9.48,2.53
2025-01-05 07:00:00,293.73,0.0,3.26,45.78,0.62,7.68,8.21,2.06
2025-01-05 08:00:00,277.04,0.03,2.87,42.92,0.58,6.01,6.46,1.31
2025-01-05 09:00:00,270.37,0.1,2.57,40.77,0.56,5.25,5.66,0.98
2025-01-05 10:00:00,267.03,0.14,2.12,40.77,0.57,4.72,5.12,0.8
2025-01-05 11:00:00,267.03,0.15,1.86,43.99,0.64,4.47,4.87,0.79
2025-01-05 12:00:00,263.69,0.11,1.59,48.64,0.7,4.22,4.61,0.77
2025-01-05 13:00:00,253.68,0.07,1.34,51.5,0.69,3.66,4.03,0.72
2025-01-05 14:00:00,243.66,0.04,1.24,51.5,0.68,3.05,3.4,0.7
2025-01-05 15:00:00,230.31,0.03,1.15,50.07,0.66,2.25,2.56,0.62
2025-01-05 16:00:00,216.96,0.01,1.12,47.92,0.65,1.61,1.92,0.56
2025-01-05 17:00:00,211.95,0.0,1.17,45.78,0.66,1.24,1.59,0.56
2025-01-05 18:00:00,210.29,0.0,1.36,43.27,0.68,1.11,1.51,0.66
2025-01-05 19:00:00,213.62,0.0,1.56,41.48,0.69,1.12,1.53,0.77
2025-01-05 20:00:00,211.95,0.0,1.59,40.41,0.63,1.11,1.48,0.76
2025-01-05 21:00:00,216.96,0.0,1.71,39.7,0.63,1.32,1.77,0.97
2025-01-05 22:00:00,223.64,0.0,1.93,39.34,0.68,1.57,2.1,1.2
2025-01-05 23:00:00,226.97,0.0,2.12,38.98,0.69,1.77,2.32,1.36
2025-01-06 00:00:00,230.31,0.0,2.21,38.62,0.69,1.93,2.5,1.47
2025-01-06 01:00:00,236.99,0.0,2.44,37.55,0.74,2.24,2.88,1.77
2025-01-06 02:00:00,243.66,0.0,2.7,36.84,0.75,2.58,3.27,2.12
2025-01-06 03:00:00,247.0,0.0,2.7,36.12,0.77,2.79,3.52,2.01
2025-01-06 04:00:00,253.68,0.0,2.91,33.97,0.78,3.3,4.09,1.9
2025-01-06 05:00:00,260.35,0.0,3.13,32.19,0.77,3.87,4.67,1.71
2025-01-06 06:00:00,273.7,0.0,3.38,30.4,0.77,4.49,5.3,1.55
2025-01-06 07:00:00,273.7,0.0,3.38,29.33,0.83,4.77,5.63,1.36
2025-01-06 08:00:00,280.38,0.07,3.56,28.97,1.0,5.19,6.2,1.31
2025-01-06 09:00:00,287.06,0.19,3.47,30.4,1.21,5.77,6.94,1.41
2025-01-06 10:00:00,290.39,0.22,3.0,36.12,1.42,6.11,7.37,1.41
2025-01-06 11:00:00,283.72,0.16,2.12,46.49,1.58,6.32,7.56,1.3
2025-01-06 12:00:00,263.69,0.09,1.34,56.51,1.76,6.58,7.85,1.04
2025-01-06 13:00:00,247.0,0.05,0.99,62.23,1.8,6.78,8.01,0.82
2025-01-06 14:00:00,233.65,0.03,0.85,60.8,1.68,6.23,7.23,0.63
2025-01-06 15:00:00,216.96,0.02,0.76,55.07,1.42,4.92,5.58,0.43
2025-01-06 16:00:00,208.62,0.01,0.79,49.35,1.1,3.89,4.3,0.33
2025-01-06 17:00:00,206.95,0.0,0.9,46.49,1.0,3.6,3.94,0.29
2025-01-06 18:00:00,211.95,0.0,1.3,43.99,1.1,3.79,4.18,0.39
2025-01-06 19:00:00,220.3,0.0,1.84,41.48,1.34,4.5,5.03,0.57
2025-01-06 20:00:00,230.31,0.0,2.36,39.7,1.58,5.57,6.23,0.74
2025-01-06 21:00:00,257.02,0.0,3.26,36.84,1.61,6.93,7.84,1.17
2025-01-06 22:00:00,293.73,0.0,4.24,33.26,1.73,9.18,10.39,1.38
2025-01-06 23:00:00,313.76,0.0,4.58,31.83,1.94,12.14,13.56,1.11
2025-01-07 00:00:00,313.76,0.0,4.37,32.19,2.06,14.91,16.34,0.59
2025-01-07 01:00:00,313.76,0.0,4.41,32.54,1.91,16.67,18.11,0.55
2025-01-07 02:00:00,317.1,0.0,4.5,31.83,1.59,16.41,17.86,0.85
2025-01-07 03:00:00,313.76,0.0,4.37,31.11,1.34,15.08,16.54,1.09
2025-01-07 04:00:00,313.76,0.0,4.5,29.33,1.21,13.54,15.07,1.47
2025-01-07 05:00:00,317.1,0.0,4.58,27.89,1.18,12.01,13.6,1.84
2025-01-07 06:00:00,330.45,0.0,4.84,26.82,1.24,11.75,13.43,2.15
2025-01-07 07:00:00,317.1,0.06,4.37,27.54,1.37,11.17,12.8,1.95
2025-01-07 08:00:00,287.06,0.41,2.78,31.83,1.51,9.68,11.06,1.39
2025-01-07 09:00:00,267.03,0.37,1.67,40.77,1.51,8.72,9.85,1.01
2025-01-07 10:00:00,263.69,0.23,1.22,52.21,1.56,9.18,10.31,0.97
2025-01-07 11:00:00,263.69,0.14,0.92,62.23,1.73,9.48,10.58,0.98
2025-01-07 12:00:00,250.34,0.1,0.72,63.66,1.71,7.79,8.73,0.77
2025-01-07 13:00:00,230.31,0.07,0.62,57.22,1.46,5.41,6.15,0.53
2025-01-07 14:00:00,216.96,0.05,0.59,53.64,1.4,4.3,4.96,0.42
2025-01-07 15:00:00,210.29,0.04,0.62,51.5,1.46,3.61,4.17,0.33
2025-01-07 16:00:00,206.95,0.02,0.74,50.78,1.51,3.38,3.92,0.33
2025-01-07 17:00:00,205.28,0.01,0.96,48.64,1.61,3.39,3.96,0.37
2025-01-07 18:00:00,210.29,0.0,1.31,45.06,1.68,3.5,4.06,0.48
2025-01-07 19:00:00,211.95,0.0,1.52,41.13,1.71,3.5,4.0,0.51
2025-01-07 20:00:00,213.62,0.0,1.65,37.91,1.73,3.47,3.95,0.48
2025-01-07 21:00:00,220.3,0.0,1.91,35.41,1.7,3.57,4.06,0.52
2025-01-07 22:00:00,236.99,0.0,2.46,32.9,1.79,4.04,4.62,0.7
2025-01-07 23:00:00,253.68,0.0,3.17,30.76,1.79,4.81,5.45,0.91
2025-01-08 00:00:00,263.69,0.0,3.43,30.04,1.59,5.35,6.04,1.08
2025-01-08 01:00:00,267.03,0.0,3.43,30.04,1.4,5.42,6.11,1.27
2025-01-08 02:00:00,273.7,0.0,3.51,30.4,1.15,5.3,5.91,1.46
2025-01-08 03:00:00,270.37,0.0,3.38,30.4,0.93,4.92,5.43,1.39
2025-01-08 04:00:00,267.03,0.0,3.17,30.4,0.77,4.44,4.87,1.38
2025-01-08 05:00:00,263.69,0.0,2.91,29.68,0.65,3.9,4.28,1.39
2025-01-08 06:00:00,260.35,0.0,2.91,28.97,0.54,3.33,3.69,1.63
2025-01-08 07:00:00,253.68,0.0,2.83,27.89,0.51,2.9,3.26,1.54
2025-01-08 08:00:00,253.68,0.06,2.72,27.54,0.52,2.66,3.03,1.33
2025-01-08 09:00:00,257.02,0.07,2.74,27.89,0.54,2.7,3.06,1.22
2025-01-08 10:00:00,267.03,0.1,2.66,30.04,0.57,2.81,3.16,1.14
2025-01-08 11:00:00,273.7,0.12,2.66,34.33,0.69,2.85,3.2,1.06
2025-01-08 12:00:00,277.04,0.1,2.68,39.34,0.87,2.79,3.15,0.91
2025-01-08 13:00:00,263.69,0.08,2.18,41.84,0.86,2.38,2.71,0.7
2025-01-08 14:00:00,247.0,0.05,1.74,42.92,0.77,1.99,2.29,0.58
2025-01-08 15:00:00,236.99,0.03,1.59,44.7,0.76,1.87,2.15,0.54
2025-01-08 16:00:00,233.65,0.01,1.63,45.78,0.75,1.83,2.11,0.52
2025-01-08 17:00:00,230.31,0.0,1.76,44.35,0.7,1.72,1.99,0.5
2025-01-08 18:00:00,233.65,0.0,1.95,42.56,0.65,1.71,1.98,0.56
2025-01-08 19:00:00,240.33,0.0,2.14,40.77,0.63,1.79,2.08,0.63
2025-01-08 20:00:00,243.66,0.0,2.4,39.34,0.65,1.92,2.24,0.63
2025-01-08 21:00:00,253.68,0.0,2.96,36.84,0.72,2.21,2.63,0.76
2025-01-08 22:00:00,270.37,0.0,3.77,33.62,0.85,2.75,3.31,1.06
2025-01-08 23:00:00,280.38,0.0,4.11,32.54,0.9,3.12,3.75,1.33
2025-01-09 00:00:00,273.7,0.0,3.77,32.9,0.85,3.08,3.66,1.3
2025-01-09 01:00:00,270.37,0.0,3.51,32.54,0.74,3.02,3.55,1.41
2025-01-09 02:00:00,270.37,0.0,3.38,31.83,0.64,3.07,3.57,1.61
2025-01-09 03:00:00,267.03,0.0,3.17,30.76,0.54,2.94,3.38,1.52
2025-01-09 04:00:00,267.03,0.0,3.08,29.33,0.47,2.91,3.3,1.44
2025-01-09 05:00:00,267.03,0.0,3.04,27.54,0.42,2.83,3.17,1.3
2025-01-09 06:00:00,277.04,0.0,3.34,25.39,0.42,3.2,3.57,1.5
2025-01-09 07:00:00,280.38,0.0,3.34,23.96,0.45,3.25,3.66,1.35
2025-01-09 08:00:00,273.7,0.04,3.17,25.39,0.58,3.12,3.58,1.17
2025-01-09 09:00:00,270.37,0.14,2.63,30.4,0.77,3.11,3.69,1.17
2025-01-09 10:00:00,263.69,0.17,2.08,38.98,1.0,3.2,3.94,1.22
2025-01-09 11:00:00,263.69,0.14,1.59,49.35,1.16,3.52,4.33,1.22
2025-01-09 12:00:00,253.68,0.08,1.06,56.51,1.04,3.23,3.9,0.87
2025-01-09 13:00:00,240.33,0.05,0.85,57.22,0.86,2.95,3.49,0.67
2025-01-09 14:00:00,240.33,0.03,0.87,57.94,0.87,3.12,3.64,0.66
2025-01-09 15:00:00,247.0,0.02,1.06,59.37,1.01,3.52,4.05,0.73
2025-01-09 16:00:00,260.35,0.01,1.41,60.8,1.1,3.96,4.51,0.85
2025-01-09 17:00:00,267.03,0.01,1.93,56.51,1.07,3.91,4.39,0.93
2025-01-09 18:00:00,280.38,0.0,2.72,52.21,1.13,4.07,4.54,1.25
2025-01-09 19:00:00,280.38,0.0,3.0,48.64,1.13,3.98,4.42,1.2
2025-01-09 20:00:00,277.04,0.0,2.91,48.64,1.18,3.82,4.31,0.98
2025-01-09 21:00:00,273.7,0.0,2.61,48.64,1.13,3.59,4.14,0.84
2025-01-09 22:00:00,273.7,0.0,2.59,46.49,1.25,3.86,4.57,0.93
2025-01-09 23:00:00,277.04,0.0,2.59,45.78,1.21,3.97,4.7,0.99
2025-01-10 00:00:00,273.7,0.0,2.38,47.92,1.12,4.01,4.64,0.93
2025-01-10 01:00:00,270.37,0.0,2.06,51.5,0.97,4.04,4.58,0.85
2025-01-10 02:00:00,267.03,0.0,1.74,55.07,0.81,3.99,4.43,0.79
2025-01-10 03:00:00,263.69,0.0,1.52,57.94,0.79,4.18,4.55,0.65
2025-01-10 04:00:00,260.35,0.0,1.44,59.37,0.79,4.37,4.69,0.59
2025-01-10 05:00:00,257.02,0.0,1.39,60.08,0.8,4.39,4.71,0.63
2025-01-10 06:00:00,267.03,0.0,1.74,58.65,0.82,4.66,5.06,1.03
2025-01-10 07:00:00,280.38,0.0,2.23,55.79,0.86,4.95,5.43,1.23
2025-01-10 08:00:00,290.39,0.02,2.63,52.93,0.93,5.11,5.61,1.11
2025-01-10 09:00:00,290.39,0.06,2.7,50.78,0.92,4.88,5.35,0.94
2025-01-10 10:00:00,287.06,0.1,2.63,50.78,1.0,4.67,5.16,0.89
2025-01-10 11:00:00,287.06,0.15,2.72,50.78,1.13,4.56,5.08,0.95
2025-01-10 12:00:00,270.37,0.13,2.31,52.93,1.18,3.81,4.27,0.76
2025-01-10 13:00:00,257.02,0.1,1.84,57.22,1.12,3.3,3.7,0.63
2025-01-10 14:00:00,253.68,0.08,1.44,62.94,1.12,3.16,3.56,0.64
2025-01-10 15:00:00,250.34,0.03,1.3,65.8,1.1,3.03,3.42,0.66
2025-01-10 16:00:00,247.0,0.02,1.34,66.52,1.04,2.9,3.24,0.62
2025-01-10 17:00:00,247.0,0.01,1.63,64.37,1.0,2.84,3.15,0.61
2025-01-10 18:00:00,253.68,0.0,2.21,60.8,1.03,2.96,3.28,0.74
2025-01-10 19:00:00,257.02,0.0,2.48,57.94,1.04,2.98,3.3,0.68
2025-01-10 20:00:00,257.02,0.0,2.36,58.65,1.04,2.94,3.26,0.52
2025-01-10 21:00:00,253.68,0.0,2.14,59.37,1.0,2.98,3.33,0.49
2025-01-10 22:00:00,263.69,0.0,2.29,56.51,1.09,3.28,3.77,0.66
2025-01-10 23:00:00,273.7,0.0,2.48,52.21,1.04,3.51,4.04,0.82
2025-01-11 00:00:00,280.38,0.0,2.48,47.92,0.91,3.55,4.05,0.87
2025-01-11 01:00:00,283.72,0.0,2.53,44.7,0.82,3.54,4.01,0.93
2025-01-11 02:00:00,283.72,0.0,2.53,41.84,0.75,3.43,3.88,1.0
2025-01-11 03:00:00,277.04,0.0,2.27,40.77,0.63,3.04,3.44,0.89
2025-01-11 04:00:00,273.7,0.0,2.08,44.7,0.6,3.1,3.5,0.88
2025-01-11 05:00:00,277.04,0.0,1.95,51.5,0.64,3.42,3.83,0.9
2025-01-11 06:00:00,287.06,0.0,2.08,55.07,0.69,3.89,4.36,1.08
2025-01-11 07:00:00,293.73,0.0,2.18,57.94,0.72,4.04,4.55,1.12
2025-01-11 08:00:00,297.07,0.03,2.25,60.8,0.7,3.96,4.47,1.12
2025-01-11 09:00:00,293.73,0.1,2.08,60.08,0.63,3.62,4.11,1.16
2025-01-11 10:00:00,273.7,0.16,1.56,59.37,0.6,3.3,3.75,1.12
2025-01-11 11:00:00,263.69,0.15,1.09,62.94,0.72,3.66,4.16,1.11
2025-01-11 12:00:00,250.34,0.09,0.69,64.37,0.75,3.66,4.14,0.85
2025-01-11 13:00:00,236.99,0.05,0.57,62.23,0.68,3.06,3.46,0.7
2025-01-11 14:00:00,223.64,0.04,0.55,57.94,0.55,1.94,2.24,0.57
2025-01-11 15:00:00,213.62,0.03,0.59,54.36,0.52,1.34,1.6,0.47
2025-01-11 16:00:00,208.62,0.02,0.71,51.5,0.57,1.32,1.59,0.44
2025-01-11 17:00:00,211.95,0.01,0.95,47.92,0.75,1.75,2.07,0.48
2025-01-11 18:00:00,223.64,0.0,1.44,45.42,1.04,2.75,3.16,0.64
2025-01-11 19:00:00,240.33,0.0,1.91,44.7,1.21,3.66,4.12,0.75
2025-01-11 20:00:00,253.68,0.0,2.08,45.42,1.13,3.99,4.43,0.74
2025-01-11 21:00:00,260.35,0.0,2.21,45.42,1.04,4.22,4.71,0.82
2025-01-11 22:00:00,267.03,0.0,2.33,45.06,1.06,4.41,5.0,1.0
2025-01-11 23:00:00,270.37,0.0,2.4,44.35,0.98,4.32,4.92,1.11
2025-01-12 00:00:00,270.37,0.0,2.31,44.35,0.89,4.11,4.74,1.2
2025-01-12 01:00:00,277.04,0.0,2.46,43.63,0.81,4.08,4.74,1.39
2025-01-12 02:00:00,283.72,0.0,2.68,41.48,0.75,4.15,4.84,1.65
2025-01-12 03:00:00,287.06,0.0,2.68,40.77,0.68,4.01,4.68,1.6
2025-01-12 04:00:00,290.39,0.0,2.63,40.05,0.63,3.84,4.49,1.66
2025-01-12 05:00:00,290.39,0.0,2.59,40.05,0.6,3.69,4.33,1.8
2025-01-12 06:00:00,297.07,0.0,2.74,40.05,0.62,3.83,4.46,2.15
2025-01-12 07:00:00,293.73,0.0,2.68,40.77,0.63,3.83,4.45,2.09
2025-01-12 08:00:00,290.39,0.04,2.42,42.92,0.65,3.79,4.4,1.76
2025-01-12 09:00:00,290.39,0.05,2.23,45.78,0.65,3.73,4.34,1.55
2025-01-12 10:00:00,293.73,0.04,2.16,49.35,0.68,3.7,4.35,1.46
2025-01-12 11:00:00,300.41,0.04,2.18,55.79,0.81,3.7,4.4,1.39
2025-01-12 12:00:00,290.39,0.03,1.76,60.08,0.78,2.99,3.48,0.89
2025-01-12 13:00:00,277.04,0.03,1.39,60.08,0.63,2.49,2.8,0.59
2025-01-12 14:00:00,290.39,0.04,1.48,60.8,0.63,3.02,3.3,0.68
2025-01-12 15:00:00,290.39,0.06,1.48,58.65,0.63,3.16,3.43,0.83
2025-01-12 16:00:00,280.38,0.04,1.59,55.79,0.6,2.83,3.08,0.93
2025-01-12 17:00:00,270.37,0.02,1.74,52.21,0.58,2.55,2.77,0.93
2025-01-12 18:00:00,263.69,0.0,2.16,47.92,0.6,2.55,2.78,1.16
2025-01-12 19:00:00,260.35,0.0,2.51,44.7,0.66,2.64,2.92,1.38
2025-01-12 20:00:00,257.02,0.0,2.68,42.2,0.69,2.53,2.83,1.41
2025-01-12 21:00:00,260.35,0.0,3.0,40.05,0.73,2.57,2.92,1.47
2025-01-12 22:00:00,260.35,0.0,3.13,38.98,0.76,2.57,2.96,1.44
2025-01-12 23:00:00,260.35,0.0,3.21,38.27,0.75,2.63,3.04,1.42
2025-01-13 00:00:00,270.37,0.0,3.43,36.84,0.73,2.99,3.43,1.55
2025-01-13 01:00:00,277.04,0.0,3.64,34.33,0.71,3.31,3.8,1.76
2025-01-13 02:00:00,280.38,0.0,3.64,32.19,0.64,3.18,3.64,1.69
2025-01-13 03:00:00,273.7,0.0,3.38,30.76,0.56,2.67,3.06,1.46
2025-01-13 04:00:00,267.03,0.0,3.26,30.04,0.51,2.33,2.68,1.36
2025-01-13 05:00:00,263.69,0.0,3.21,29.68,0.51,2.18,2.52,1.28
2025-01-13 06:00:00,250.34,0.0,2.96,31.47,0.5,1.9,2.2,1.08
2025-01-13 07:00:00,250.34,0.03,2.96,31.47,0.56,1.96,2.3,1.08
2025-01-13 08:00:00,250.34,0.27,2.59,34.33,0.65,2.11,2.5,1.09
2025-01-13 09:00:00,250.34,0.35,2.23,40.41,0.73,2.42,2.86,1.16
2025-01-13 10:00:00,253.68,0.24,1.99,47.92,0.8,2.91,3.4,1.2
2025-01-13 11:00:00,253.68,0.14,1.8,53.64,0.88,3.23,3.74,1.16
2025-01-13 12:00:00,253.68,0.07,1.65,56.51,0.9,2.93,3.34,0.93
2025-01-13 13:00:00,250.34,0.06,1.56,55.79,0.87,2.45,2.81,0.84
2025-01-13 14:00:00,236.99,0.06,1.37,52.93,0.8,1.76,2.07,0.74
2025-01-13 15:00:00,226.97,0.06,1.29,51.5,0.77,1.4,1.71,0.7
2025-01-13 16:00:00,226.97,0.05,1.31,51.5,0.75,1.24,1.56,0.66
2025-01-13 17:00:00,230.31,0.03,1.35,52.93,0.75,1.24,1.56,0.61
2025-01-13 18:00:00,236.99,0.01,1.39,55.07,0.72,1.3,1.64,0.66
2025-01-13 19:00:00,247.0,0.0,1.52,56.51,0.76,1.5,1.95,0.75
2025-01-13 20:00:00,257.02,0.0,1.74,55.79,0.86,1.77,2.34,0.89
2025-01-13 21:00:00,277.04,0.0,2.51,53.64,1.04,2.5,3.27,1.28
2025-01-13 22:00:00,290.39,0.0,2.96,51.5,1.04,2.97,3.85,1.47
2025-01-13 23:00:00,297.07,0.0,3.04,51.5,1.0,3.28,4.23,1.5
2025-01-14 00:00:00,297.07,0.0,2.74,53.64,0.87,3.33,4.23,1.36
2025-01-14 01:00:00,297.07,0.0,2.53,55.07,0.75,3.47,4.25,1.28
2025-01-14 02:00:00,293.73,0.0,2.36,55.07,0.61,3.41,4.03,1.19
2025-01-14 03:00:00,287.06,0.0,2.14,55.79,0.54,3.03,3.48,1.01
2025-01-14 04:00:00,283.72,0.0,2.23,56.51,0.58,2.81,3.18,0.97
2025-01-14 05:00:00,283.72,0.0,2.33,57.22,0.62,2.69,3.02,0.97
