Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,447.27,5.48,7.11,9.66,1.62,8.77,10.52,7.28
2025-01-01 09:00:00,226.97,0.33,2.66,27.54,0.39,1.2,1.54,1.08
2025-01-01 10:00:00,210.29,0.22,2.03,31.83,0.34,0.83,1.05,0.99
2025-01-01 11:00:00,211.95,0.2,1.86,35.05,0.34,0.95,1.14,1.06
2025-01-01 12:00:00,206.95,0.13,1.5,36.84,0.3,0.82,0.98,0.97
2025-01-01 13:00:00,205.28,0.08,1.52,35.76,0.3,0.72,0.88,0.97
2025-01-01 14:00:00,200.27,0.04,1.54,32.9,0.31,0.57,0.7,0.95
2025-01-01 15:00:00,203.61,0.03,2.16,27.54,0.42,0.58,0.76,1.17
2025-01-01 16:00:00,220.3,0.04,3.34,22.53,0.61,0.82,1.1,1.44
2025-01-01 17:00:00,240.33,0.04,4.88,18.78,0.83,1.16,1.54,1.55
2025-01-01 18:00:00,293.73,0.17,8.74,11.27,1.37,2.15,2.82,2.12
2025-01-01 19:00:00,360.49,0.82,11.82,3.84,1.76,3.77,4.92,2.88
2025-01-01 20:00:00,407.22,1.93,12.0,0.98,1.8,5.48,7.21,3.74
2025-01-01 21:00:00,447.27,2.77,12.17,0.33,1.82,7.18,9.19,4.94
2025-01-01 22:00:00,487.33,3.13,13.02,0.16,1.8,9.04,11.11,5.76
2025-01-01 23:00:00,520.71,3.35,14.22,0.09,1.8,10.95,12.93,6.65
2025-01-02 00:00:00,534.06,3.19,14.74,0.07,1.68,12.28,14.13,7.47
2025-01-02 01:00:00,540.73,2.57,14.39,0.1,1.42,13.3,14.94,7.85
2025-01-02 02:00:00,540.73,1.9,14.05,0.15,1.16,13.9,15.29,8.11
2025-01-02 03:00:00,534.06,1.36,13.19,0.24,0.97,13.97,15.23,8.49
2025-01-02 04:00:00,514.03,0.88,12.34,0.42,0.88,13.2,14.43,9.12
2025-01-02 05:00:00,487.33,0.56,11.48,0.85,0.85,11.99,13.13,10.13
2025-01-02 06:00:00,453.95,0.44,10.97,1.43,0.9,11.16,12.21,10.26
2025-01-02 07:00:00,433.92,1.02,9.51,3.26,1.04,10.48,11.62,6.78
2025-01-02 08:00:00,400.54,2.21,7.37,14.66,1.21,8.36,9.5,3.77
2025-01-02 09:00:00,230.31,0.28,2.74,29.68,0.44,1.4,1.7,1.01
2025-01-02 10:00:00,216.96,0.3,2.03,32.9,0.41,0.94,1.17,1.04
2025-01-02 11:00:00,208.62,0.24,1.44,38.27,0.38,0.88,1.08,1.11
2025-01-02 12:00:00,195.26,0.14,0.88,36.84,0.29,0.59,0.75,0.88
2025-01-02 13:00:00,186.92,0.11,0.75,31.11,0.23,0.5,0.63,0.71
2025-01-02 14:00:00,185.25,0.1,0.8,27.54,0.23,0.5,0.61,0.66
2025-01-02 15:00:00,211.95,0.34,2.74,20.56,0.58,0.84,1.15,1.46
2025-01-02 16:00:00,267.03,0.58,6.68,17.17,1.33,2.03,2.68,3.45
2025-01-02 17:00:00,333.79,0.37,13.54,15.38,2.53,3.47,4.47,6.46
2025-01-02 18:00:00,407.22,0.14,21.25,11.27,4.05,4.98,6.24,10.01
2025-01-02 19:00:00,447.27,0.33,22.62,6.44,4.41,6.44,8.04,11.4
2025-01-02 20:00:00,460.62,0.74,18.16,2.95,3.13,7.61,9.59,7.92
2025-01-02 21:00:00,460.62,1.1,13.88,1.56,2.0,8.4,10.56,4.75
2025-01-02 22:00:00,467.3,1.31,11.65,1.14,1.52,9.18,11.39,3.77
2025-01-02 23:00:00,473.98,1.49,10.8,0.94,1.28,9.87,12.02,3.55
2025-01-03 00:00:00,460.62,1.31,10.11,0.96,1.04,10.07,12.08,3.7
2025-01-03 01:00:00,447.27,0.95,9.17,1.07,0.81,10.2,12.07,4.02
2025-01-03 02:00:00,447.27,0.71,8.57,1.14,0.69,10.6,12.33,4.69
2025-01-03 03:00:00,440.6,0.57,8.14,1.32,0.64,11.26,13.03,5.38
2025-01-03 04:00:00,433.92,0.47,7.63,1.52,0.59,11.72,13.64,5.64
2025-01-03 05:00:00,427.25,0.48,7.2,1.61,0.57,12.03,14.04,5.7
2025-01-03 06:00:00,440.6,0.71,7.2,1.16,0.62,12.74,14.66,5.19
2025-01-03 07:00:00,460.62,2.49,5.91,2.77,0.91,13.25,15.23,4.31
2025-01-03 08:00:00,467.3,4.14,5.57,13.23,1.31,13.1,15.2,3.58
2025-01-03 09:00:00,303.75,1.01,3.17,36.84,0.72,4.94,5.86,1.54
2025-01-03 10:00:00,280.38,0.42,1.88,51.5,0.67,4.12,4.77,1.46
2025-01-03 11:00:00,290.39,0.21,1.22,65.09,0.72,5.19,5.77,1.76
2025-01-03 12:00:00,230.31,0.12,0.52,41.84,0.34,2.01,2.27,0.93
2025-01-03 13:00:00,210.29,0.12,0.45,33.97,0.25,1.08,1.24,0.73
2025-01-03 14:00:00,206.95,0.12,0.5,33.97,0.26,1.01,1.16,0.78
2025-01-03 15:00:00,226.97,0.3,1.48,33.97,0.5,1.57,1.86,1.39
2025-01-03 16:00:00,260.35,0.43,3.34,34.33,0.85,2.76,3.27,1.92
2025-01-03 17:00:00,297.07,0.25,6.0,30.04,1.16,4.04,4.74,2.12
2025-01-03 18:00:00,347.14,0.03,9.85,21.46,1.62,5.19,6.12,2.82
2025-01-03 19:00:00,393.87,0.06,12.17,13.95,1.89,6.44,7.61,3.67
2025-01-03 20:00:00,417.23,0.12,12.51,10.37,1.91,7.74,9.08,4.69
2025-01-03 21:00:00,440.6,0.17,12.34,7.87,1.88,8.92,10.42,5.57
2025-01-03 22:00:00,460.62,0.37,11.65,4.56,1.62,10.21,12.06,4.81
2025-01-03 23:00:00,480.65,0.75,10.97,2.3,1.36,11.37,13.41,3.89
2025-01-04 00:00:00,480.65,0.86,10.28,1.65,1.06,12.0,14.01,3.39
2025-01-04 01:00:00,473.98,0.53,9.42,1.99,0.77,12.44,14.34,3.42
2025-01-04 02:00:00,473.98,0.3,8.83,2.86,0.62,12.74,14.45,3.74
2025-01-04 03:00:00,467.3,0.17,8.31,4.16,0.54,12.66,14.25,4.02
2025-01-04 04:00:00,453.95,0.12,7.63,4.87,0.48,12.36,13.89,3.83
2025-01-04 05:00:00,447.27,0.13,7.37,5.01,0.45,12.31,13.77,3.58
2025-01-04 06:00:00,460.62,0.21,7.97,3.93,0.5,13.46,14.79,3.45
2025-01-04 07:00:00,473.98,1.38,6.77,5.32,0.68,14.05,15.35,3.23
2025-01-04 08:00:00,453.95,2.1,5.4,20.92,0.86,13.06,14.3,2.82
2025-01-04 09:00:00,250.34,0.36,1.35,31.83,0.32,3.01,3.35,0.99
2025-01-04 10:00:00,223.64,0.21,0.8,34.69,0.29,1.74,1.97,0.97
2025-01-04 11:00:00,210.29,0.14,0.57,35.41,0.26,1.26,1.45,1.01
2025-01-04 12:00:00,195.26,0.1,0.41,32.54,0.2,0.76,0.9,0.85
2025-01-04 13:00:00,186.92,0.08,0.41,29.68,0.17,0.5,0.61,0.68
2025-01-04 14:00:00,183.58,0.04,0.5,27.54,0.15,0.5,0.6,0.6
2025-01-04 15:00:00,198.6,0.06,1.91,20.92,0.36,0.65,0.86,1.14
2025-01-04 16:00:00,233.65,0.13,4.07,14.31,0.64,1.4,1.83,1.55
2025-01-04 17:00:00,267.03,0.15,6.43,10.46,0.9,2.25,2.91,1.95
2025-01-04 18:00:00,297.07,0.12,8.14,8.58,1.1,2.99,3.78,2.44
2025-01-04 19:00:00,313.76,0.11,8.14,7.33,1.01,3.48,4.33,2.15
2025-01-04 20:00:00,317.1,0.09,7.54,6.62,0.84,3.7,4.58,1.88
2025-01-04 21:00:00,333.79,0.14,7.88,5.41,0.8,4.41,5.36,2.06
2025-01-04 22:00:00,363.83,0.3,8.57,3.76,0.83,5.75,6.88,2.63
2025-01-04 23:00:00,387.19,0.5,9.0,2.68,0.88,7.02,8.25,3.45
2025-01-05 00:00:00,393.87,0.52,8.91,2.32,0.81,7.74,8.99,4.05
2025-01-05 01:00:00,400.54,0.41,8.83,2.19,0.69,8.56,9.76,4.37
2025-01-05 02:00:00,413.89,0.38,9.0,1.86,0.66,9.96,11.14,4.94
2025-01-05 03:00:00,413.89,0.35,8.57,1.77,0.6,10.99,12.18,5.0
2025-01-05 04:00:00,403.88,0.27,7.71,2.26,0.51,11.32,12.52,4.81
2025-01-05 05:00:00,393.87,0.21,7.03,3.04,0.47,11.28,12.49,4.75
2025-01-05 06:00:00,383.85,0.23,6.68,3.49,0.49,11.22,12.37,4.62
2025-01-05 07:00:00,373.84,1.09,5.31,5.72,0.66,10.41,11.56,3.83
2025-01-05 08:00:00,347.14,1.82,4.03,18.78,0.79,8.42,9.46,2.82
2025-01-05 09:00:00,216.96,0.36,1.3,38.27,0.29,1.61,1.89,0.89
2025-01-05 10:00:00,196.93,0.19,0.89,41.13,0.25,0.78,0.95,0.84
2025-01-05 11:00:00,185.25,0.12,0.71,40.41,0.21,0.5,0.63,0.82
2025-01-05 12:00:00,185.25,0.09,0.9,37.19,0.22,0.5,0.63,0.89
2025-01-05 13:00:00,191.93,0.11,1.44,33.97,0.3,0.5,0.68,1.17
2025-01-05 14:00:00,198.6,0.1,2.01,31.83,0.39,0.53,0.75,1.42
2025-01-05 15:00:00,210.29,0.08,2.87,28.25,0.52,0.82,1.12,1.82
2025-01-05 16:00:00,233.65,0.06,4.24,23.25,0.7,1.41,1.84,2.15
2025-01-05 17:00:00,260.35,0.03,6.0,18.24,0.91,2.14,2.71,2.34
2025-01-05 18:00:00,297.07,0.04,8.05,13.41,1.18,3.09,3.8,2.69
2025-01-05 19:00:00,333.79,0.11,9.25,8.76,1.25,4.31,5.31,3.01
2025-01-05 20:00:00,353.81,0.17,9.34,6.62,1.15,5.41,6.71,3.32
2025-01-05 21:00:00,370.5,0.21,9.17,5.36,1.09,6.44,7.97,3.8
2025-01-05 22:00:00,393.87,0.32,9.6,3.84,1.09,7.56,9.19,4.18
2025-01-05 23:00:00,423.91,0.54,10.62,2.35,1.12,8.96,10.59,4.62
2025-01-06 00:00:00,447.27,0.69,10.71,1.43,1.01,10.1,11.67,5.0
2025-01-06 01:00:00,453.95,0.68,10.71,1.11,1.0,11.31,12.87,6.4
2025-01-06 02:00:00,467.3,0.59,11.31,1.03,1.07,12.77,14.28,8.99
2025-01-06 03:00:00,467.3,0.47,11.31,1.22,1.09,13.58,15.13,10.89
2025-01-06 04:00:00,460.62,0.38,9.85,1.52,0.86,13.75,15.35,8.99
2025-01-06 05:00:00,453.95,0.35,8.65,1.79,0.66,14.18,15.8,6.52
2025-01-06 06:00:00,467.3,0.44,9.17,1.79,0.68,14.67,16.16,5.64
2025-01-06 07:00:00,487.33,1.54,8.57,2.91,0.92,15.06,16.61,4.62
2025-01-06 08:00:00,480.65,3.02,7.28,12.34,1.21,13.64,15.27,3.42
2025-01-06 09:00:00,267.03,0.14,3.68,30.76,0.49,2.92,3.43,1.16
2025-01-06 10:00:00,243.66,0.12,2.96,31.47,0.45,1.81,2.17,1.06
2025-01-06 11:00:00,243.66,0.12,2.74,33.97,0.46,1.92,2.28,1.2
2025-01-06 12:00:00,236.99,0.11,2.25,35.41,0.41,1.75,2.09,1.14
2025-01-06 13:00:00,233.65,0.1,1.97,35.05,0.39,1.49,1.83,1.11
2025-01-06 14:00:00,226.97,0.1,1.86,35.05,0.39,1.28,1.62,1.12
2025-01-06 15:00:00,243.66,0.16,3.21,27.18,0.63,1.66,2.19,1.57
2025-01-06 16:00:00,280.38,0.19,5.57,18.42,0.93,2.64,3.46,1.85
2025-01-06 17:00:00,323.77,0.13,8.65,11.98,1.24,3.74,4.76,2.01
2025-01-06 18:00:00,373.84,0.21,11.82,6.79,1.56,4.89,6.05,2.37
2025-01-06 19:00:00,423.91,0.79,13.19,2.39,1.65,6.48,7.96,2.69
2025-01-06 20:00:00,453.95,1.72,11.65,0.4,1.43,7.99,9.79,2.75
2025-01-06 21:00:00,467.3,2.24,10.02,0.09,1.27,9.0,11.02,3.23
2025-01-06 22:00:00,480.65,2.21,9.77,0.13,1.28,9.71,12.02,4.24
2025-01-06 23:00:00,480.65,1.73,10.37,0.36,1.4,10.11,12.47,5.89
2025-01-07 00:00:00,467.3,0.73,12.0,1.7,1.58,10.13,12.32,8.74
2025-01-07 01:00:00,460.62,0.09,12.51,5.81,1.65,10.17,12.09,11.78
2025-01-07 02:00:00,467.3,0.01,12.51,10.1,1.64,10.65,12.3,13.93
2025-01-07 03:00:00,473.98,0.01,12.68,11.62,1.59,11.5,13.01,15.83
2025-01-07 04:00:00,480.65,0.01,12.51,11.18,1.55,12.1,13.53,17.23
2025-01-07 05:00:00,480.65,0.01,12.51,9.57,1.52,12.57,13.93,18.24
2025-01-07 06:00:00,467.3,0.05,12.51,6.53,1.45,13.17,14.42,16.97
2025-01-07 07:00:00,453.95,1.03,11.31,6.08,1.62,13.2,14.48,13.93
2025-01-07 08:00:00,440.6,2.12,9.25,16.81,1.74,12.15,13.48,8.36
2025-01-07 09:00:00,247.0,0.23,3.04,29.68,0.51,2.42,2.81,1.35
2025-01-07 10:00:00,220.3,0.15,2.25,29.33,0.41,1.25,1.51,1.03
2025-01-07 11:00:00,211.95,0.14,1.78,30.4,0.36,0.95,1.16,1.04
2025-01-07 12:00:00,205.28,0.12,1.63,28.61,0.35,0.77,0.97,1.09
2025-01-07 13:00:00,211.95,0.22,2.01,26.11,0.45,0.9,1.15,1.38
2025-01-07 14:00:00,216.96,0.32,2.29,26.11,0.56,1.01,1.3,1.61
2025-01-07 15:00:00,226.97,0.36,2.83,25.75,0.68,1.23,1.58,1.87
2025-01-07 16:00:00,247.0,0.31,4.24,23.6,0.88,1.79,2.26,2.12
2025-01-07 17:00:00,277.04,0.14,6.6,19.13,1.13,2.58,3.18,2.28
2025-01-07 18:00:00,320.43,0.09,9.6,11.98,1.49,3.48,4.23,2.63
2025-01-07 19:00:00,370.5,0.34,11.65,5.68,1.64,4.67,5.67,2.88
2025-01-07 20:00:00,403.88,0.67,11.82,2.68,1.51,6.06,7.4,2.88
2025-01-07 21:00:00,427.25,0.95,11.31,1.48,1.34,7.28,8.97,3.01
2025-01-07 22:00:00,447.27,1.3,10.71,0.86,1.25,8.49,10.38,3.26
2025-01-07 23:00:00,467.3,1.75,10.45,0.53,1.22,9.65,11.63,3.64
2025-01-08 00:00:00,473.98,1.79,10.02,0.44,1.07,10.31,12.27,4.02
2025-01-08 01:00:00,467.3,1.48,9.6,0.4,0.9,10.8,12.65,4.62
2025-01-08 02:00:00,480.65,1.29,10.02,0.35,0.89,11.38,13.07,6.21
2025-01-08 03:00:00,487.33,1.2,10.45,0.32,0.91,12.07,13.75,8.11
2025-01-08 04:00:00,494.0,1.16,10.45,0.37,0.97,12.67,14.42,10.51
2025-01-08 05:00:00,507.35,1.23,10.54,0.44,1.06,13.55,15.35,13.05
2025-01-08 06:00:00,540.73,1.69,11.14,0.21,1.25,15.56,17.31,14.82
2025-01-08 07:00:00,574.11,3.86,9.51,1.26,1.55,17.43,19.28,12.67
2025-01-08 08:00:00,600.81,6.2,8.05,4.34,1.7,17.73,19.68,7.09
2025-01-08 09:00:00,357.15,0.94,5.44,22.17,0.7,6.04,6.67,2.15
2025-01-08 10:00:00,300.41,0.42,3.9,30.76,0.6,3.34,3.74,1.65
2025-01-08 11:00:00,270.37,0.25,2.83,35.05,0.51,2.35,2.64,1.54
2025-01-08 12:00:00,220.3,0.11,1.61,33.26,0.32,1.2,1.37,1.01
2025-01-08 13:00:00,203.61,0.07,1.36,28.97,0.27,0.82,0.96,0.85
2025-01-08 14:00:00,201.94,0.06,1.52,27.18,0.3,0.79,0.94,0.9
2025-01-08 15:00:00,226.97,0.16,3.47,21.28,0.65,1.41,1.77,1.76
2025-01-08 16:00:00,273.7,0.29,6.25,15.56,1.06,2.59,3.25,2.31
2025-01-08 17:00:00,330.45,0.33,9.77,10.82,1.45,4.05,5.0,2.41
2025-01-08 18:00:00,390.53,0.51,13.19,5.41,1.86,5.67,6.94,2.66
2025-01-08 19:00:00,447.27,1.54,14.39,1.35,2.03,7.51,9.22,3.13
2025-01-08 20:00:00,480.65,2.63,13.54,0.31,1.94,9.29,11.48,3.77
2025-01-08 21:00:00,500.68,2.88,13.71,0.18,1.97,10.67,13.12,5.13
2025-01-08 22:00:00,520.71,2.77,14.39,0.17,2.06,11.84,14.36,6.52
2025-01-08 23:00:00,534.06,2.79,14.91,0.15,2.15,13.03,15.57,8.04
2025-01-09 00:00:00,534.06,2.4,15.25,0.21,2.21,13.94,16.51,10.26
2025-01-09 01:00:00,540.73,1.87,16.62,0.2,2.32,14.9,17.41,13.81
2025-01-09 02:00:00,567.44,1.65,18.51,0.18,2.41,16.37,18.68,17.23
2025-01-09 03:00:00,594.14,1.44,19.88,0.22,2.47,17.68,19.87,20.27
2025-01-09 04:00:00,587.46,1.08,20.05,0.43,2.38,18.43,20.68,22.29
2025-01-09 05:00:00,574.11,0.79,18.51,0.77,2.12,18.68,21.02,21.79
2025-01-09 06:00:00,574.11,1.02,15.77,0.51,1.62,19.74,22.02,15.07
2025-01-09 07:00:00,594.14,3.13,11.14,2.01,1.4,20.86,23.17,8.04
2025-01-09 08:00:00,600.81,5.31,8.23,12.7,1.49,20.99,23.38,4.69
2025-01-09 09:00:00,317.1,0.82,3.43,35.05,0.58,6.21,6.98,1.58
2025-01-09 10:00:00,297.07,0.4,2.7,42.2,0.56,4.41,4.91,1.41
2025-01-09 11:00:00,283.72,0.21,2.42,36.84,0.53,3.11,3.49,1.39
2025-01-09 12:00:00,247.0,0.09,2.27,29.68,0.43,1.99,2.27,1.19
2025-01-09 13:00:00,236.99,0.09,2.36,26.11,0.43,1.71,1.98,1.17
2025-01-09 14:00:00,230.31,0.07,2.51,22.89,0.45,1.46,1.73,1.19
2025-01-09 15:00:00,226.97,0.06,2.57,20.92,0.47,1.33,1.59,1.19
2025-01-09 16:00:00,223.64,0.05,2.59,20.38,0.47,1.24,1.5,1.14
2025-01-09 17:00:00,223.64,0.03,2.87,19.67,0.5,1.19,1.43,1.11
2025-01-09 18:00:00,273.7,0.11,7.2,12.7,1.12,2.19,2.69,1.87
2025-01-09 19:00:00,350.48,0.48,11.82,5.23,1.59,4.31,5.33,2.53
2025-01-09 20:00:00,400.54,0.92,12.34,2.35,1.52,6.31,7.85,2.72
2025-01-09 21:00:00,433.92,1.19,12.0,1.26,1.4,8.0,9.92,3.1
2025-01-09 22:00:00,460.62,1.48,12.68,0.64,1.49,9.89,12.07,4.37
2025-01-09 23:00:00,494.0,1.75,14.39,0.35,1.83,11.98,14.34,6.9
2025-01-10 00:00:00,514.03,1.61,16.62,0.3,2.24,13.52,15.91,10.89
2025-01-10 01:00:00,534.06,1.17,19.36,0.3,2.59,15.01,17.31,15.45
2025-01-10 02:00:00,574.11,0.79,22.96,0.36,3.01,17.31,19.5,21.03
2025-01-10 03:00:00,594.14,0.57,25.02,0.44,3.22,19.11,21.24,25.59
2025-01-10 04:00:00,587.46,0.45,23.99,0.55,2.98,19.82,21.95,26.35
2025-01-10 05:00:00,567.44,0.42,20.73,0.66,2.41,19.98,22.17,22.55
2025-01-10 06:00:00,567.44,0.58,17.82,0.49,1.7,20.85,23.01,13.17
2025-01-10 07:00:00,580.79,1.82,15.25,1.61,1.61,21.38,23.63,8.61
2025-01-10 08:00:00,580.79,3.63,12.34,13.95,1.8,20.76,23.18,5.95
2025-01-10 09:00:00,323.77,0.71,4.97,27.54,0.77,5.85,6.73,2.09
2025-01-10 10:00:00,297.07,0.44,3.77,32.19,0.7,3.65,4.23,1.96
2025-01-10 11:00:00,280.38,0.33,2.7,34.69,0.62,2.42,2.83,1.95
2025-01-10 12:00:00,230.31,0.1,1.61,26.82,0.36,0.94,1.15,1.17
2025-01-10 13:00:00,211.95,0.06,1.39,21.82,0.28,0.54,0.69,0.85
2025-01-10 14:00:00,203.61,0.06,1.41,20.03,0.27,0.5,0.62,0.75
2025-01-10 15:00:00,216.96,0.1,2.7,16.09,0.48,0.76,0.98,1.16
2025-01-10 16:00:00,247.0,0.14,4.76,11.98,0.77,1.43,1.82,1.52
2025-01-10 17:00:00,277.04,0.16,7.11,8.76,1.06,2.16,2.72,1.71
2025-01-10 18:00:00,330.45,0.67,10.28,4.78,1.46,3.33,4.14,2.03
2025-01-10 19:00:00,390.53,1.87,12.0,1.26,1.64,4.95,6.14,2.34
2025-01-10 20:00:00,433.92,3.19,11.48,0.33,1.53,6.5,8.08,2.63
2025-01-10 21:00:00,460.62,3.91,11.14,0.11,1.43,8.05,9.91,3.2
2025-01-10 22:00:00,480.65,4.3,11.14,0.04,1.42,9.6,11.64,3.83
2025-01-10 23:00:00,494.0,4.69,10.8,0.02,1.43,10.96,13.0,4.62
2025-01-11 00:00:00,494.0,4.69,10.28,0.01,1.28,11.84,13.76,5.07
2025-01-11 01:00:00,473.98,3.74,9.34,0.03,0.9,12.18,13.83,4.5
2025-01-11 02:00:00,433.92,2.35,8.4,0.13,0.61,12.1,13.45,3.89
2025-01-11 03:00:00,397.21,0.94,7.54,0.86,0.43,11.31,12.45,3.36
2025-01-11 04:00:00,357.15,0.14,6.17,3.4,0.32,9.69,10.65,2.91
2025-01-11 05:00:00,317.1,0.02,4.54,7.87,0.26,7.44,8.22,2.53
2025-01-11 06:00:00,283.72,0.01,3.86,12.7,0.27,5.36,5.99,2.47
2025-01-11 07:00:00,263.69,0.07,3.81,17.7,0.4,3.68,4.25,2.18
2025-01-11 08:00:00,236.99,0.2,3.21,28.25,0.48,1.85,2.28,1.49
2025-01-11 09:00:00,200.27,0.07,1.54,40.05,0.24,0.5,0.66,0.66
2025-01-11 10:00:00,198.6,0.09,1.41,38.62,0.23,0.5,0.65,0.7
2025-01-11 11:00:00,191.93,0.09,1.02,37.55,0.2,0.5,0.63,0.65
2025-01-11 12:00:00,186.92,0.09,0.76,37.91,0.18,0.5,0.62,0.63
2025-01-11 13:00:00,186.92,0.12,0.73,39.34,0.19,0.5,0.62,0.7
2025-01-11 14:00:00,186.92,0.15,0.77,39.7,0.22,0.5,0.63,0.77
2025-01-11 15:00:00,190.26,0.19,0.97,38.62,0.26,0.5,0.65,0.91
2025-01-11 16:00:00,198.6,0.2,1.5,37.19,0.35,0.57,0.76,1.12
2025-01-11 17:00:00,208.62,0.13,2.55,35.41,0.5,0.72,0.96,1.35
2025-01-11 18:00:00,226.97,0.02,4.46,30.76,0.76,1.07,1.41,1.84
2025-01-11 19:00:00,257.02,0.01,6.43,24.32,0.94,1.82,2.38,2.25
2025-01-11 20:00:00,277.04,0.01,6.85,20.03,0.89,2.54,3.34,2.22
2025-01-11 21:00:00,290.39,0.02,6.85,17.17,0.79,3.26,4.22,2.18
2025-01-11 22:00:00,313.76,0.03,7.37,14.31,0.77,4.23,5.34,2.53
2025-01-11 23:00:00,333.79,0.05,7.97,11.62,0.78,5.3,6.5,2.94
2025-01-12 00:00:00,340.46,0.05,7.71,10.28,0.69,5.94,7.1,3.2
2025-01-12 01:00:00,343.8,0.03,7.2,9.92,0.57,6.6,7.7,3.42
2025-01-12 02:00:00,343.8,0.03,6.68,9.66,0.47,7.37,8.41,3.61
2025-01-12 03:00:00,330.45,0.02,5.65,11.0,0.38,7.29,8.24,3.55
2025-01-12 04:00:00,310.42,0.01,4.71,13.05,0.31,6.72,7.62,3.26
2025-01-12 05:00:00,297.07,0.01,4.2,15.02,0.28,6.19,7.05,3.01
2025-01-12 06:00:00,290.39,0.01,4.24,15.74,0.31,6.0,6.86,2.85
2025-01-12 07:00:00,287.06,0.06,4.67,16.81,0.47,5.52,6.44,2.63
2025-01-12 08:00:00,283.72,0.48,4.8,20.74,0.7,4.6,5.53,2.37
2025-01-12 09:00:00,216.96,0.27,2.03,31.83,0.36,1.39,1.76,1.03
2025-01-12 10:00:00,208.62,0.28,1.59,34.33,0.34,1.0,1.27,1.06
2025-01-12 11:00:00,205.28,0.24,1.34,36.48,0.33,0.96,1.2,1.17
2025-01-12 12:00:00,201.94,0.09,1.37,35.05,0.31,0.82,1.04,1.19
2025-01-12 13:00:00,196.93,0.05,1.37,33.26,0.28,0.64,0.82,1.12
2025-01-12 14:00:00,191.93,0.03,1.27,32.54,0.26,0.51,0.65,1.03
2025-01-12 15:00:00,205.28,0.07,2.31,26.82,0.42,0.76,1.0,1.49
2025-01-12 16:00:00,236.99,0.13,4.37,20.56,0.71,1.52,1.93,2.12
2025-01-12 17:00:00,277.04,0.13,6.85,16.09,1.03,2.45,3.04,2.5
2025-01-12 18:00:00,303.75,0.05,8.57,13.41,1.19,3.15,3.85,2.63
2025-01-12 19:00:00,307.08,0.03,7.88,13.77,0.98,3.25,3.96,2.12
2025-01-12 20:00:00,280.38,0.01,5.74,17.52,0.65,2.71,3.31,1.49
2025-01-12 21:00:00,257.02,0.0,4.07,21.82,0.45,1.93,2.36,1.23
2025-01-12 22:00:00,247.0,0.0,3.38,23.96,0.38,1.61,1.99,1.3
2025-01-12 23:00:00,233.65,0.0,2.68,27.89,0.31,1.22,1.54,1.27
2025-01-13 00:00:00,223.64,0.0,2.16,29.33,0.24,0.95,1.23,1.35
2025-01-13 01:00:00,230.31,0.0,2.36,26.46,0.24,1.19,1.52,1.65
2025-01-13 02:00:00,247.0,0.0,2.91,22.71,0.26,1.88,2.28,1.99
2025-01-13 03:00:00,250.34,0.0,2.91,20.74,0.23,2.23,2.66,1.9
2025-01-13 04:00:00,240.33,0.0,2.44,22.17,0.18,1.91,2.3,1.52
2025-01-13 05:00:00,226.97,0.0,1.84,26.82,0.14,1.28,1.55,1.16
2025-01-13 06:00:00,213.62,0.0,1.52,31.83,0.12,0.83,0.99,1.0
2025-01-13 07:00:00,216.96,0.02,1.97,30.76,0.22,0.85,1.05,0.95
2025-01-13 08:00:00,220.3,0.09,2.7,29.68,0.37,0.81,1.04,0.85
2025-01-13 09:00:00,220.3,0.13,2.78,29.33,0.39,0.7,0.91,0.74
2025-01-13 10:00:00,211.95,0.15,2.03,30.04,0.33,0.52,0.69,0.66
2025-01-13 11:00:00,200.27,0.12,1.22,31.11,0.23,0.5,0.62,0.53
2025-01-13 12:00:00,190.26,0.08,0.69,34.69,0.14,0.5,0.58,0.4
2025-01-13 13:00:00,186.92,0.08,0.61,36.12,0.14,0.5,0.59,0.42
2025-01-13 14:00:00,186.92,0.09,0.6,36.48,0.15,0.5,0.6,0.46
2025-01-13 15:00:00,188.59,0.09,0.73,35.41,0.19,0.5,0.61,0.55
2025-01-13 16:00:00,193.6,0.08,1.2,33.26,0.27,0.5,0.64,0.74
2025-01-13 17:00:00,200.27,0.04,1.97,31.83,0.38,0.52,0.69,0.85
2025-01-13 18:00:00,213.62,0.01,3.3,29.33,0.57,0.83,1.08,1.06
2025-01-13 19:00:00,230.31,0.0,4.2,26.11,0.69,1.23,1.62,1.27
2025-01-13 20:00:00,240.33,0.0,4.41,24.32,0.67,1.57,2.11,1.41
2025-01-13 21:00:00,243.66,0.0,4.11,23.6,0.59,1.78,2.4,1.49
2025-01-13 22:00:00,240.33,0.0,3.64,24.32,0.5,1.79,2.37,1.41
2025-01-13 23:00:00,233.65,0.0,3.13,26.11,0.39,1.55,2.03,1.22
2025-01-14 00:00:00,220.3,0.0,1.97,29.68,0.23,0.98,1.26,0.89
2025-01-14 01:00:00,213.62,0.0,1.59,31.11,0.17,0.85,1.09,0.86
2025-01-14 02:00:00,213.62,0.0,1.46,32.54,0.14,0.96,1.23,0.87
2025-01-14 03:00:00,210.29,0.0,1.18,36.12,0.12,0.92,1.38,0.82
2025-01-14 04:00:00,205.28,0.0,1.0,40.05,0.12,0.88,1.78,0.83
2025-01-14 05:00:00,203.61,0.0,0.9,44.7,0.12,0.94,2.48,0.87
